codice;denominazione;ubicazione;comune;coordinata_x;coordinata_y;latitudine;longitudine;codice_zona
70726;CASA RINGHINO;VIA NAZIONALE FR 133;PONTE DELLA VENTURINA;659230;889030;44,135362;10,989517;574
70727;POGGIOLO;VIA VALDOPPIO PROSSIMITA` INTERSEZIONE V;GRANAGLIONE;659013;889248;44,13737;10,986872;574
70729;PONTE DELLA VENTURINA;VIA NAZIONALE 81;PONTE DELLA VENTURINA;659357;888616;44,131609;10,990979;574
70730;PONTE DELLA VENTURINA;VIA NAZIONALE 80;PONTE DELLA VENTURINA;659369;888617;44,131615;10,991129;574
70731;CORSINI;VIA GRANAGLIONE LOCALITA` CORSINI;GRANAGLIONE;658879;888659;44,1321;10,98502;574
71001;TRIPOLI POZZO;VIA MONGARDINO FR 3;SASSO MARCONI;679447;919949;44,408834;11,252678;582
71002;TRIPOLI POZZO;VIA MONGARDINO 3;SASSO MARCONI;679436;919937;44,408729;11,252536;582
71005;L`ACQUA;VIA MONGARDINO 10;SASSO MARCONI;678329;920134;44,410774;11,238711;582
71006;L`ACQUA;VIA MONGARDINO FR 10;SASSO MARCONI;678327;920121;44,410658;11,238681;582
71009;TRIPOLI CASA SABBIONI;VIA MONGARDINO FR 19;SASSO MARCONI;677932;920117;44,410719;11,233723;582
71010;TRIPOLI CASA SABBIONI;VIA MONGARDINO 19;SASSO MARCONI;677933;920109;44,410647;11,233733;582
71013;MONGARDINO BORGATA;VIA MONGARDINO 32;SASSO MARCONI;676664;920475;44,41425;11,217931;582
71014;MONGARDINO BORGATA;VIA MONGARDINO FR 32;SASSO MARCONI;676660;920473;44,414233;11,21788;582
71017;MONGARDINO GROTTE;VIA MONGARDINO 42;MONGARDINO;676170;920797;44,417267;11,21184;582
71018;MONGARDINO GROTTE;VIA MONGARDINO FR 42;MONGARDINO;676165;920794;44,417241;11,211776;582
71022;MONGARDINO PAESE;VIA TIGNANO ANG. CODICINO;SASSO MARCONI;676204;921537;44,423916;11,212518;582
71024;PONTE LEPRI;VIA OLIVETTA FR 2;SASSO MARCONI;674923;921136;44,420619;11,196302;564
71025;PONTE LEPRI;VIA OLIVETTA 2;SASSO MARCONI;674928;921136;44,420618;11,196364;564
71501;ARMAROLO;VIA TORRENTE VENOLA 38/2;MARZABOTTO;673991;911494;44,3341;11,181378;569
71502;ARMAROLO;VIA TORRENTE VENOLA FR 38/2;MARZABOTTO;673991;911488;44,334046;11,181376;569
71505;CASA DEL PONTE;VIA TORRENTE VENOLA FR 33;MARZABOTTO;673607;911535;44,334561;11,176578;569
71506;CASA DEL PONTE;VIA TORRENTE VENOLA 33;MARZABOTTO;673616;911520;44,334424;11,176686;569
71509;VILLA ARMAROLO;VIA TORRENTE VENOLA FR 37;MARZABOTTO;672986;911715;44,336328;11,168854;569
71510;VILLA ARMAROLO;VIA TORRENTE VENOLA 37;MARZABOTTO;672982;911712;44,336302;11,168803;569
71513;CASA COMASTRI;VIA TORRENTE VENOLA FR 43;MARZABOTTO;672286;911786;44,337134;11,160103;569
71514;CASA COMASTRI;VIA TORRENTE VENOLA 43;MARZABOTTO;672286;911780;44,33708;11,160101;569
71517;CASA MONARI;VIA TORRENTE VENOLA 52/2;MARZABOTTO;671508;911823;44,337651;11,150363;569
71518;CASA MONARI;VIA TORRENTE VENOLA 59;MARZABOTTO;671508;911816;44,337588;11,150361;569
71521;MONTASICO BIVIO;VIA TORRENTE VENOLA BV MONTASICO;MARZABOTTO;671311;911788;44,337382;11,147882;569
71522;MONTASICO BIVIO;VIA TORRENTE VENOLA FR BV MONTASICO;MARZABOTTO;671311;911780;44,33731;11,147879;569
